Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Interview prediction
19,SUNY Binghamton University,1.2,Bachelors,Detroit,F,1,0,N/A,1,Lawyer,9/14,12/14,ML Engineer,9/16,9/19,Chef,4/17,9/17,3.8,1
20,Rhode Island School of Design,3.7,Masters,Boston,F,0,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.21,0
21,SUNY Binghamton University,3.9,Bachelors,Boston,M,1,1,1,2,Junior SWE,1/14,1/16,Chef,2/16,2/17,N/A,N/A,N/A,1.23,0
22,Colgate University,2.6,Bachelors,Washington D.C.,N/A,0,1,N/A,2,Data scientist,3/11,3/21,Data scientist,5/10,5/21,Chef,3/21,12/21,9.69,0
23,Bentley University,1.8,Bachelors,Miami,N/A,0,0,0,0,Junior SWE,5/16,5/17,ML Engineer,11/18,11/20,Data scientist,9/22,11/22,2.29,0
24,Rhode Island School of Design,2.9,Bachelors,Miami,M,N/A,1,0,2,Bus Driver,11/20,12/20,N/A,N/A,N/A,N/A,N/A,N/A,4.36,1
25,Rhode Island School of Design,3.1,Bachelors,Miami,F,N/A,0,N/A,4,Lawyer,4/17,10/17,ML Engineer,9/10,9/13,Lawyer,4/19,4/22,3.24,0
26,Brown University,1.4,Bachelors,New York City,N/A,1,1,1,1,Chef,10/14,10/18,ML Engineer,7/15,7/20,Data scientist,5/13,5/20,1.85,0
27,Bentley University,2.0,Bachelors,Detroit,M,0,1,0,4,Senior SWE,6/19,N/A,Junior SWE,10/15,10/20,Data scientist,2/20,4/20,0.24,0
28,Providence College,3.4,Masters,New York City,N/A,0,0,N/A,1,Data scientist,7/17,10/17,Junior SWE,7/20,7/22,Data scientist,2/21,2/22,3.66,0
29,SUNY New Paltz,1.9,Phd,Boston,N/A,N/A,0,N/A,3,Lawyer,4/12,4/15,Junior SWE,4/21,4/22,Lawyer,11/17,12/17,6.3,0
30,Bentley University,1.4,Phd,New York City,F,N/A,1,1,3,Junior SWE,1/23,11/23,Data scientist,12/21,1/22,Chef,8/20,8/22,2.04,0
31,Brown University,2.3,Phd,Los Angeles,M,1,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.62,1
32,Providence College,1.5,Bachelors,Providence,N/A,0,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.29,0
33,Columbia University,2.6,Phd,Miami,N/A,N/A,0,N/A,4,Junior SWE,7/19,7/21,ML Engineer,12/20,1/21,Senior SWE,10/17,10/19,3.56,0
34,Rhode Island School of Design,3.2,Phd,Detroit,M,0,1,0,3,Data scientist,6/22,9/22,Chef,2/11,2/20,Senior SWE,6/14,6/21,3.27,0
35,Providence College,2.8,Masters,Los Angeles,N/A,1,0,1,4,Bus Driver,2/19,2/22,N/A,N/A,N/A,N/A,N/A,N/A,1.58,0
36,SUNY Binghamton University,4.0,Bachelors,Boston,N/A,1,0,1,2,Bus Driver,1/19,1/20,Junior SWE,11/11,11/20,Junior SWE,8/12,8/19,2.23,0
37,Columbia University,2.7,Bachelors,Washington D.C.,M,N/A,1,N/A,0,Senior SWE,8/18,12/18,Bus Driver,9/18,9/21,Lawyer,4/18,4/21,9.12,0
38,Providence College,2.5,Masters,Chicago,F,0,1,1,1,Data scientist,8/14,8/18,N/A,N/A,N/A,N/A,N/A,N/A,5.14,0
39,Providence College,1.9,Bachelors,Providence,F,N/A,1,N/A,1,Chef,4/22,12/22,N/A,N/A,N/A,N/A,N/A,N/A,9.08,0
40,Rhode Island School of Design,1.8,Bachelors,Washington D.C.,F,0,0,N/A,3,ML Engineer,11/16,11/22,Senior SWE,4/11,4/20,Bus Driver,3/17,11/17,3.9,0
41,Bentley University,1.3,Phd,Los Angeles,F,1,1,N/A,3,Junior SWE,6/12,6/15,Senior SWE,6/16,6/18,Bus Driver,5/12,5/13,3.38,0
42,SUNY Binghamton University,1.6,Masters,Detroit,F,N/A,0,0,0,Lawyer,12/11,12/16,Bus Driver,8/21,10/21,Bus Driver,4/10,4/14,8.18,0
43,Colgate University,1.2,Phd,Chicago,M,1,1,0,4,Data scientist,9/12,9/13,ML Engineer,11/21,12/21,Data scientist,9/16,11/16,3.62,0
44,Providence College,1.5,Masters,Washington D.C.,M,1,0,0,4,Bus Driver,6/15,6/18,Lawyer,3/18,12/18,Data scientist,10/17,10/18,3.04,0
45,Rhode Island School of Design,2.1,Phd,Boston,N/A,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4,0
46,Rhode Island School of Design,2.7,Masters,New York City,M,N/A,0,N/A,0,Bus Driver,10/12,10/19,Junior SWE,12/19,12/22,ML Engineer,2/23,11/23,1.6,1
47,Columbia University,2.7,Phd,Providence,N/A,1,1,1,0,Senior SWE,7/20,10/20,Junior SWE,8/15,8/21,Senior SWE,9/13,9/21,3.4,0
48,Colgate University,1.5,Phd,Providence,F,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.85,1
49,Colgate University,3.7,Masters,Detroit,F,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.49,0
50,SUNY Binghamton University,2.0,Bachelors,Miami,F,N/A,0,1,1,Data scientist,12/12,N/A,Chef,1/22,2/22,Data scientist,6/10,11/10,2.37,0
51,SUNY Binghamton University,3.8,Bachelors,Washington D.C.,M,N/A,1,0,4,Data scientist,3/10,3/14,ML Engineer,6/13,6/18,Junior SWE,3/22,8/22,3.74,0
52,Providence College,2.1,Bachelors,Providence,N/A,0,0,0,4,Chef,6/17,6/19,Junior SWE,7/23,12/23,ML Engineer,12/17,12/19,5.31,0
53,Colgate University,3.7,Phd,Washington D.C.,M,0,1,1,3,Lawyer,8/15,8/19,Lawyer,10/17,10/20,Lawyer,7/21,7/22,5.71,1
54,SUNY Binghamton University,1.7,Bachelors,Chicago,N/A,N/A,0,1,3,Lawyer,8/12,8/20,ML Engineer,10/10,10/16,Senior SWE,5/16,5/21,1.39,0
55,Rhode Island School of Design,4.0,Bachelors,Boston,M,N/A,0,0,2,ML Engineer,6/17,6/19,N/A,N/A,N/A,N/A,N/A,N/A,9.75,0
56,Bentley University,2.6,Phd,Washington D.C.,M,0,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76,1
57,Providence College,2.0,Bachelors,Miami,M,0,0,N/A,2,Chef,7/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A,8.9,1
58,Colgate University,3.9,Phd,Boston,F,0,1,1,1,Chef,11/11,11/12,Data scientist,10/14,10/22,ML Engineer,1/10,1/21,2.54,0
59,SUNY New Paltz,2.6,Bachelors,Detroit,N/A,0,1,N/A,3,ML Engineer,12/16,12/17,ML Engineer,3/18,3/22,Junior SWE,4/20,11/20,0.92,0
60,Colgate University,3.2,Phd,Washington D.C.,M,1,1,0,3,ML Engineer,2/21,N/A,Senior SWE,7/15,7/18,Senior SWE,3/23,7/23,2.75,0
61,Rhode Island School of Design,3.7,Phd,Chicago,N/A,1,1,1,2,Senior SWE,9/16,11/16,Senior SWE,5/20,5/22,Senior SWE,12/14,12/17,3.33,0
62,Brown University,1.8,Bachelors,Los Angeles,F,N/A,1,0,4,Bus Driver,2/11,2/14,Data scientist,12/20,12/22,Chef,5/20,5/22,4.68,0
63,Colgate University,3.1,Bachelors,Miami,M,1,1,N/A,0,Junior SWE,3/13,3/18,Lawyer,5/23,7/23,Data scientist,10/16,10/17,8.47,0
64,Columbia University,1.3,Masters,New York City,M,0,1,1,1,ML Engineer,6/21,6/22,Chef,8/15,8/18,Junior SWE,1/17,1/21,6.69,0
65,SUNY New Paltz,3.0,Phd,Miami,N/A,1,0,N/A,4,ML Engineer,11/20,11/21,Data scientist,6/18,10/18,Senior SWE,1/14,1/19,8.14,0
66,SUNY Binghamton University,2.0,Masters,Chicago,F,N/A,0,N/A,2,Bus Driver,8/14,8/17,ML Engineer,3/19,3/21,Bus Driver,11/16,11/22,9.34,0
67,SUNY Binghamton University,1.5,Phd,Chicago,N/A,N/A,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.96,0
68,Brown University,2.2,Phd,Providence,M,N/A,1,0,2,Senior SWE,4/12,4/15,Bus Driver,10/17,11/17,Chef,1/20,1/22,4.93,1
69,SUNY Binghamton University,3.0,Masters,Detroit,M,0,0,0,2,Data scientist,3/15,3/17,Bus Driver,6/19,6/20,Junior SWE,5/20,8/20,2.8,1
70,Columbia University,3.7,Bachelors,New York City,F,N/A,0,0,0,ML Engineer,3/12,3/16,N/A,N/A,N/A,N/A,N/A,N/A,2.2,0
71,Colgate University,1.5,Phd,Boston,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,0
72,Providence College,2.2,Phd,New York City,F,1,1,N/A,2,ML Engineer,3/16,N/A,Senior SWE,8/11,8/18,Data scientist,2/14,2/22,7.29,0
73,Rhode Island School of Design,2.7,Phd,Los Angeles,M,N/A,0,0,0,Data scientist,4/11,4/18,ML Engineer,2/12,2/13,Data scientist,4/12,4/16,5.29,0
74,Bentley University,2.2,Masters,Detroit,F,1,0,N/A,4,ML Engineer,6/11,6/16,Junior SWE,7/12,7/20,ML Engineer,5/10,5/14,5.13,0
75,SUNY New Paltz,2.1,Phd,Washington D.C.,M,N/A,0,0,3,Junior SWE,11/12,11/21,Junior SWE,5/11,5/22,ML Engineer,5/17,5/18,8.38,0
76,SUNY New Paltz,1.5,Bachelors,Detroit,M,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.59,0
77,Colgate University,3.4,Phd,Boston,N/A,1,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.84,0
78,SUNY Binghamton University,3.9,Phd,Chicago,F,1,0,0,4,Chef,4/22,7/22,Chef,9/19,9/22,Lawyer,5/21,5/22,9.83,1
79,Providence College,1.8,Bachelors,New York City,F,0,1,N/A,3,Lawyer,6/13,6/17,Chef,1/22,9/22,Senior SWE,4/22,12/22,3.6,1
80,SUNY New Paltz,3.2,Masters,New York City,M,1,0,1,4,Bus Driver,1/17,6/17,Data scientist,8/16,8/19,Data scientist,10/23,12/23,4.75,1
81,Columbia University,1.8,Phd,Providence,M,1,1,N/A,4,Data scientist,3/22,9/22,Lawyer,12/12,12/13,Lawyer,11/13,11/20,7.06,0
82,SUNY New Paltz,1.4,Masters,Providence,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.4,0
83,SUNY Binghamton University,4.0,Phd,Chicago,F,N/A,1,0,0,Lawyer,4/21,11/21,Data scientist,5/21,5/22,Junior SWE,9/20,9/22,1.3,0
84,Columbia University,3.9,Bachelors,Providence,N/A,N/A,0,1,2,Chef,9/22,12/22,Bus Driver,2/15,2/22,Bus Driver,2/17,2/20,7.29,0
85,Bentley University,3.7,Phd,Detroit,F,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.31,0
86,Rhode Island School of Design,2.5,Phd,Miami,M,N/A,0,1,4,Data scientist,3/10,3/21,Senior SWE,11/20,11/21,Chef,5/23,11/23,4.0,1
87,SUNY Binghamton University,2.4,Masters,Providence,N/A,N/A,0,0,1,Data scientist,6/13,6/17,Data scientist,7/13,9/13,ML Engineer,2/19,2/21,6.72,0
88,SUNY New Paltz,2.8,Bachelors,Detroit,N/A,0,1,N/A,0,Lawyer,7/11,N/A,Bus Driver,12/16,1/17,Data scientist,10/20,12/20,4.55,0
89,SUNY Binghamton University,1.2,Bachelors,Washington D.C.,M,1,1,0,3,Data scientist,9/10,9/13,Data scientist,4/15,4/18,Chef,5/14,5/18,0.33,1
90,Brown University,3.4,Phd,Miami,F,0,1,0,3,Lawyer,8/23,10/23,Data scientist,6/16,12/16,Bus Driver,5/14,5/17,8.28,0
91,Brown University,3.0,Phd,Washington D.C.,N/A,N/A,1,0,3,Data scientist,2/14,8/14,Senior SWE,6/15,6/21,Senior SWE,1/10,1/21,5.15,0
92,SUNY New Paltz,2.2,Phd,Miami,N/A,N/A,0,1,4,Bus Driver,8/20,11/20,Senior SWE,5/17,5/20,N/A,N/A,N/A,9.19,0
93,Columbia University,3.1,Masters,Washington D.C.,M,N/A,0,1,4,ML Engineer,5/22,6/22,Junior SWE,9/18,9/21,Lawyer,6/21,8/21,6.14,0
94,Brown University,3.5,Phd,Detroit,F,0,1,1,0,Bus Driver,5/23,8/23,ML Engineer,8/23,12/23,Bus Driver,11/21,11/22,3.73,0
95,Brown University,1.7,Bachelors,New York City,M,0,1,N/A,1,Lawyer,4/15,N/A,Bus Driver,8/11,8/17,Chef,1/18,1/22,0.48,0
96,SUNY Binghamton University,2.2,Masters,Washington D.C.,N/A,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,0
97,Colgate University,1.9,Masters,Miami,N/A,0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.29,0
98,SUNY New Paltz,2.8,Phd,Providence,N/A,0,0,1,4,ML Engineer,10/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.64,0
99,Bentley University,3.0,Masters,Miami,F,N/A,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21,1
100,SUNY New Paltz,3.9,Phd,Providence,N/A,N/A,0,1,1,Lawyer,10/16,10/22,Lawyer,4/10,4/17,Lawyer,7/14,7/20,1.19,0
101,Bentley University,2.7,Masters,Boston,M,0,0,0,2,ML Engineer,8/16,8/18,Bus Driver,11/22,12/22,Chef,8/21,9/21,0.65,0
102,Bentley University,3.6,Masters,Providence,F,1,0,0,2,Lawyer,2/10,2/19,Bus Driver,3/19,11/19,ML Engineer,6/16,6/20,8.62,1
103,Providence College,3.7,Masters,New York City,M,N/A,0,0,2,Senior SWE,10/23,11/23,Junior SWE,9/19,11/19,Junior SWE,9/15,9/20,9.26,0
104,Rhode Island School of Design,1.3,Phd,Providence,N/A,N/A,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76,0
105,Brown University,4.0,Phd,Miami,M,0,0,N/A,2,Data scientist,2/18,2/22,ML Engineer,10/13,10/17,Junior SWE,5/12,5/20,6.03,0
106,SUNY Binghamton University,2.7,Phd,Boston,F,N/A,0,1,2,Senior SWE,6/19,7/19,Lawyer,6/18,6/22,Data scientist,12/21,12/22,8.79,0
107,Columbia University,2.4,Phd,Los Angeles,M,N/A,0,N/A,4,Senior SWE,9/23,10/23,Data scientist,6/21,8/21,ML Engineer,12/18,12/22,9.89,0
108,Providence College,1.4,Masters,Los Angeles,F,1,1,1,1,ML Engineer,10/17,10/20,Senior SWE,12/12,12/20,Data scientist,12/14,12/19,8.12,0
109,Colgate University,3.6,Phd,Providence,N/A,N/A,0,0,1,Lawyer,8/23,10/23,Junior SWE,5/10,5/14,Junior SWE,3/14,3/19,1.2,0
110,Providence College,1.3,Bachelors,Detroit,M,0,1,0,3,Data scientist,9/22,12/22,ML Engineer,2/18,2/21,Chef,9/20,9/22,3.58,0
111,Colgate University,2.0,Bachelors,Detroit,N/A,1,0,N/A,2,ML Engineer,3/23,5/23,Senior SWE,12/22,1/23,Data scientist,6/13,6/17,5.82,0
112,Colgate University,3.4,Phd,New York City,F,1,0,0,0,Junior SWE,10/23,12/23,Bus Driver,10/14,12/14,Chef,5/20,7/20,0.22,0
113,Colgate University,1.5,Bachelors,Miami,F,N/A,1,N/A,2,Senior SWE,3/17,3/22,Data scientist,12/12,12/18,Senior SWE,4/15,4/18,2.02,0
114,SUNY Binghamton University,1.8,Masters,Detroit,N/A,N/A,0,N/A,3,Data scientist,10/11,N/A,ML Engineer,5/19,5/20,Bus Driver,5/22,8/22,0.76,0
115,Columbia University,3.6,Masters,Washington D.C.,M,N/A,1,1,1,Bus Driver,8/19,8/20,Chef,1/21,7/21,Data scientist,11/17,11/19,6.36,0
116,Brown University,1.6,Phd,Detroit,M,1,1,0,1,ML Engineer,1/14,1/15,Junior SWE,9/17,9/20,Senior SWE,7/16,7/20,8.38,1
117,Bentley University,2.4,Masters,Providence,F,N/A,0,N/A,2,Lawyer,7/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.92,1
118,SUNY Binghamton University,1.9,Bachelors,Providence,N/A,N/A,1,N/A,4,ML Engineer,2/20,N/A,Senior SWE,3/15,3/19,Senior SWE,10/21,12/21,4.62,0
119,Columbia University,2.0,Phd,Chicago,F,0,1,0,2,ML Engineer,1/11,1/13,ML Engineer,4/12,4/20,Lawyer,4/16,4/18,8.25,0
120,Columbia University,2.0,Bachelors,Detroit,M,1,1,0,3,Junior SWE,1/23,5/23,Data scientist,10/13,10/22,Junior SWE,9/20,9/21,6.46,0
121,SUNY New Paltz,1.6,Masters,Miami,N/A,1,0,1,2,ML Engineer,7/21,7/22,Chef,11/14,11/15,N/A,N/A,N/A,7.91,0
122,Columbia University,2.0,Bachelors,Miami,N/A,1,1,1,1,Chef,10/18,11/18,Junior SWE,12/10,12/14,Junior SWE,8/11,8/12,1.28,0
123,SUNY New Paltz,3.0,Bachelors,Washington D.C.,N/A,N/A,0,1,3,Bus Driver,8/13,8/18,Lawyer,5/19,5/22,Bus Driver,2/14,2/18,0.5,0
124,Rhode Island School of Design,3.5,Masters,New York City,M,0,0,N/A,0,Bus Driver,12/18,12/21,Data scientist,12/14,12/20,Senior SWE,5/23,9/23,2.92,0
125,Bentley University,1.5,Bachelors,Detroit,N/A,0,1,N/A,0,Data scientist,11/14,11/18,Lawyer,6/15,6/20,Bus Driver,11/19,11/21,0.45,0
126,Brown University,2.4,Masters,New York City,M,N/A,0,1,1,Data scientist,3/10,3/17,Lawyer,7/18,7/19,Chef,8/16,8/22,1.2,0
127,Colgate University,2.6,Phd,Los Angeles,M,N/A,0,N/A,4,Senior SWE,11/21,12/21,Chef,2/13,2/17,Senior SWE,10/23,12/23,3.47,0
128,Colgate University,1.6,Bachelors,Providence,F,0,1,N/A,1,Data scientist,5/14,N/A,Junior SWE,3/11,3/12,Senior SWE,5/13,5/18,3.7,0
129,SUNY Binghamton University,3.0,Phd,New York City,M,N/A,0,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.09,0
130,SUNY New Paltz,4.0,Bachelors,Miami,N/A,0,0,N/A,1,Data scientist,9/14,9/16,Senior SWE,6/11,6/18,Senior SWE,3/16,3/17,8.47,0
131,Colgate University,1.5,Phd,Chicago,F,1,1,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.49,1
132,Providence College,3.1,Masters,Providence,F,1,0,N/A,2,Data scientist,4/12,4/17,Chef,11/17,11/19,Bus Driver,5/22,7/22,8.22,1
133,Colgate University,3.8,Bachelors,Washington D.C.,N/A,0,0,0,0,Bus Driver,7/18,N/A,Junior SWE,7/14,7/20,Senior SWE,12/11,12/21,4.03,0
134,SUNY New Paltz,3.6,Phd,Chicago,N/A,N/A,1,N/A,1,ML Engineer,11/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A,4.81,0
135,Columbia University,1.3,Bachelors,Chicago,M,0,0,1,0,Lawyer,10/20,11/20,Bus Driver,4/16,4/18,Bus Driver,11/13,11/16,6.42,0
136,Bentley University,2.8,Masters,Chicago,M,0,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.41,1
137,Columbia University,1.6,Phd,Providence,N/A,1,0,N/A,2,ML Engineer,8/18,N/A,ML Engineer,6/11,6/20,Junior SWE,6/17,6/21,6.24,0
138,Colgate University,2.8,Bachelors,Providence,M,0,1,1,0,Bus Driver,8/17,8/18,Chef,8/10,8/18,Lawyer,12/23,1/24,4.55,0
139,Columbia University,2.8,Phd,Miami,M,1,0,1,1,Data scientist,6/11,7/11,Junior SWE,4/21,4/22,Lawyer,4/11,4/21,4.83,1
140,Bentley University,1.8,Phd,Miami,M,0,1,N/A,3,ML Engineer,11/11,N/A,Chef,2/14,2/15,N/A,N/A,N/A,9.51,0
141,Rhode Island School of Design,2.0,Masters,Miami,F,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.35,1
142,Bentley University,3.6,Phd,Detroit,M,1,1,1,1,Senior SWE,5/16,N/A,Chef,12/10,12/22,Chef,2/22,12/22,4.45,0
143,Brown University,4.0,Bachelors,Washington D.C.,F,N/A,1,N/A,1,Chef,12/12,1/13,Chef,6/17,6/22,N/A,N/A,N/A,1.57,0
144,Providence College,1.3,Bachelors,Miami,M,1,1,1,2,Senior SWE,2/17,N/A,Bus Driver,4/17,4/22,Senior SWE,9/22,12/22,9.49,1
145,Colgate University,2.4,Bachelors,Miami,M,N/A,1,N/A,1,Senior SWE,10/14,10/17,N/A,N/A,N/A,N/A,N/A,N/A,9.14,1
146,Colgate University,2.7,Phd,Chicago,F,N/A,0,N/A,2,Lawyer,2/11,2/22,ML Engineer,9/22,11/22,Junior SWE,12/16,12/19,8.11,0
147,Columbia University,1.9,Bachelors,Washington D.C.,M,1,0,0,1,Chef,10/23,12/23,Bus Driver,2/21,5/21,Senior SWE,5/20,7/20,4.31,0
148,Columbia University,3.9,Masters,Providence,N/A,N/A,0,1,4,Lawyer,5/18,5/22,N/A,N/A,N/A,N/A,N/A,N/A,4.34,0
149,SUNY Binghamton University,2.1,Masters,Chicago,N/A,1,1,0,3,Chef,9/14,N/A,Senior SWE,8/13,8/18,Chef,3/18,3/21,0.55,0
150,Bentley University,2.1,Masters,Detroit,N/A,0,1,0,3,Bus Driver,6/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.79,0
151,Rhode Island School of Design,1.8,Phd,Los Angeles,M,0,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,1
152,Brown University,3.5,Phd,Detroit,M,0,0,1,2,ML Engineer,7/19,7/21,Bus Driver,11/12,11/13,Data scientist,11/16,11/21,1.35,0
153,Columbia University,1.3,Bachelors,Los Angeles,F,1,0,N/A,4,Bus Driver,3/22,7/22,Junior SWE,6/16,6/19,Senior SWE,11/16,11/19,1.33,0
154,Bentley University,1.8,Bachelors,Providence,M,N/A,0,0,2,Lawyer,7/13,7/14,Data scientist,4/15,10/15,Chef,9/14,9/21,0.35,0
155,Rhode Island School of Design,2.1,Masters,Chicago,F,N/A,0,N/A,4,Chef,9/14,9/15,Junior SWE,1/22,9/22,Lawyer,7/21,11/21,6.57,0
156,Rhode Island School of Design,2.3,Phd,Washington D.C.,N/A,0,0,N/A,3,Lawyer,12/12,12/22,Junior SWE,10/19,10/21,Junior SWE,2/11,2/17,9.36,0
157,Brown University,1.8,Phd,Miami,F,0,0,0,4,Lawyer,1/12,1/20,Senior SWE,5/18,5/19,Senior SWE,9/23,10/23,0.03,1
158,Colgate University,2.1,Masters,Los Angeles,M,N/A,0,N/A,4,Chef,8/10,8/18,Senior SWE,4/20,9/20,Senior SWE,4/10,4/22,4.57,1
159,Brown University,3.2,Masters,Los Angeles,N/A,0,0,1,1,Lawyer,12/16,12/20,Chef,12/15,12/16,Data scientist,12/16,12/21,4.29,0
160,Columbia University,2.2,Masters,Chicago,M,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.54,0
161,Brown University,3.8,Bachelors,Detroit,F,0,0,1,1,Senior SWE,9/21,N/A,Senior SWE,12/12,12/21,Senior SWE,10/15,10/20,5.07,0
162,Columbia University,3.0,Masters,Miami,N/A,1,1,1,3,Junior SWE,5/21,7/21,Junior SWE,1/16,7/16,Junior SWE,9/14,9/15,3.01,0
163,SUNY New Paltz,3.7,Phd,New York City,F,0,0,1,1,Data scientist,1/16,1/18,N/A,N/A,N/A,N/A,N/A,N/A,3.04,1
164,Bentley University,2.1,Masters,Boston,F,1,1,N/A,1,Data scientist,8/11,8/20,Junior SWE,2/16,2/19,ML Engineer,1/10,1/12,4.76,0
165,Rhode Island School of Design,3.4,Bachelors,Chicago,M,N/A,0,0,2,Senior SWE,11/12,11/13,Junior SWE,2/22,6/22,Chef,11/17,12/17,5.66,0
166,Columbia University,2.5,Phd,Detroit,F,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.07,0
