Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Interview prediction
57,Rhode Island School of Design,2.7,Phd,Detroit,N/A,N/A,0,N/A,4,Data scientist,9/14,11/14,Junior SWE,7/13,7/16,N/A,N/A,N/A,3.76,0
58,SUNY New Paltz,2.3,Phd,Detroit,F,N/A,0,1,0,Chef,6/17,6/21,Lawyer,2/13,2/22,Senior SWE,2/16,2/17,2.5,1
59,Providence College,1.2,Bachelors,Boston,F,1,0,0,3,Senior SWE,2/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.42,0
60,Colgate University,3.6,Bachelors,Los Angeles,F,0,1,N/A,3,Data scientist,5/13,5/17,Data scientist,12/23,1/24,Junior SWE,8/10,8/12,1.72,0
61,Rhode Island School of Design,2.5,Phd,Miami,N/A,N/A,0,0,1,Junior SWE,2/18,2/19,Bus Driver,8/10,9/10,Junior SWE,4/18,12/18,5.35,0
62,SUNY Binghamton University,2.6,Phd,Boston,F,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.24,1
63,Columbia University,1.2,Bachelors,New York City,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.81,0
64,Rhode Island School of Design,2.0,Bachelors,Los Angeles,N/A,0,0,N/A,3,ML Engineer,2/17,2/18,Junior SWE,3/23,12/23,Junior SWE,5/10,5/19,4.96,0
65,Columbia University,3.8,Phd,Miami,F,N/A,1,0,1,Senior SWE,6/11,6/15,Bus Driver,8/12,8/20,Bus Driver,1/13,1/16,5.42,0
66,Brown University,1.9,Bachelors,New York City,F,0,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.27,0
67,Brown University,2.9,Phd,New York City,N/A,0,1,1,1,Junior SWE,12/19,12/20,Senior SWE,2/16,6/16,ML Engineer,6/10,6/22,5.24,0
68,Bentley University,2.9,Bachelors,Washington D.C.,M,0,0,N/A,3,Junior SWE,7/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.37,1
69,Providence College,3.4,Bachelors,Washington D.C.,N/A,N/A,1,N/A,4,Senior SWE,3/12,3/13,Lawyer,12/20,12/22,ML Engineer,10/17,10/21,9.81,0
70,Brown University,3.4,Phd,New York City,M,1,0,N/A,1,Senior SWE,11/10,11/16,Senior SWE,9/17,9/21,Junior SWE,1/19,5/19,9.54,1
71,Rhode Island School of Design,2.9,Bachelors,Detroit,M,N/A,0,N/A,0,Chef,1/17,9/17,N/A,N/A,N/A,N/A,N/A,N/A,7.77,1
72,Providence College,3.9,Bachelors,Boston,M,0,0,0,3,Junior SWE,2/14,2/20,Chef,2/16,2/17,N/A,N/A,N/A,9.05,0
73,Providence College,2.0,Masters,Chicago,M,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.59,1
74,SUNY Binghamton University,2.4,Phd,Chicago,M,1,0,N/A,2,Junior SWE,10/14,10/19,ML Engineer,1/16,1/20,N/A,N/A,N/A,1.53,1
75,Rhode Island School of Design,3.5,Masters,Washington D.C.,F,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.88,1
76,Providence College,3.6,Phd,Providence,N/A,0,1,0,1,Bus Driver,12/19,1/20,Senior SWE,12/10,12/15,Lawyer,3/15,3/17,9.11,0
77,Bentley University,2.4,Phd,Washington D.C.,F,0,1,1,3,Bus Driver,9/13,9/17,Data scientist,11/18,11/21,N/A,N/A,N/A,8.14,0
78,Bentley University,1.4,Bachelors,New York City,M,1,0,0,4,Bus Driver,7/11,7/20,Senior SWE,10/17,11/17,Junior SWE,12/10,12/14,2.16,0
79,Brown University,2.0,Phd,Chicago,M,N/A,0,1,4,Lawyer,6/11,6/16,Chef,2/11,2/12,Lawyer,8/12,8/13,2.18,0
80,Providence College,3.2,Masters,Los Angeles,N/A,0,1,0,0,ML Engineer,10/20,10/21,Junior SWE,4/10,4/21,ML Engineer,3/19,3/22,6.08,0
81,Bentley University,3.1,Phd,Detroit,N/A,0,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.93,0
82,Rhode Island School of Design,2.0,Phd,Boston,M,0,1,N/A,0,Data scientist,2/15,2/19,Junior SWE,1/20,8/20,ML Engineer,11/18,12/18,0.84,0
83,SUNY New Paltz,2.8,Masters,Providence,N/A,1,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.02,0
84,Columbia University,3.1,Masters,Boston,M,N/A,1,0,4,Data scientist,9/19,11/19,Chef,9/11,9/19,Lawyer,5/14,5/15,1.45,1
85,Providence College,2.6,Bachelors,Los Angeles,N/A,1,1,0,3,Bus Driver,3/19,3/20,Data scientist,8/19,9/19,Data scientist,3/10,5/10,0.77,0
86,Bentley University,3.5,Masters,Chicago,M,0,0,0,3,Bus Driver,1/18,1/20,Junior SWE,4/10,4/20,Senior SWE,2/14,2/18,7.88,0
87,SUNY New Paltz,2.4,Phd,Los Angeles,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.55,0
88,Rhode Island School of Design,2.9,Bachelors,Washington D.C.,N/A,N/A,1,0,4,ML Engineer,12/11,12/22,Chef,1/20,1/21,ML Engineer,6/13,6/15,9.88,0
89,SUNY New Paltz,4.0,Phd,Washington D.C.,M,0,1,N/A,1,Senior SWE,11/19,12/19,N/A,N/A,N/A,N/A,N/A,N/A,7.69,1
90,Brown University,3.7,Phd,Washington D.C.,M,N/A,0,1,4,ML Engineer,12/22,1/23,Lawyer,3/19,4/19,ML Engineer,3/12,3/15,3.4,0
91,Rhode Island School of Design,3.9,Phd,Miami,F,N/A,0,N/A,2,Lawyer,3/15,8/15,N/A,N/A,N/A,N/A,N/A,N/A,2.72,1
92,Brown University,3.9,Phd,Washington D.C.,N/A,0,0,0,1,Bus Driver,5/13,5/17,ML Engineer,2/16,2/21,Data scientist,2/14,2/20,0.13,0
93,Colgate University,1.8,Phd,New York City,M,0,0,1,0,Bus Driver,5/16,5/21,Senior SWE,7/22,12/22,Junior SWE,1/19,1/22,7.64,0
94,Bentley University,1.9,Phd,Providence,F,1,1,1,1,Junior SWE,10/11,N/A,Chef,7/21,7/22,Chef,9/11,9/18,4.48,0
95,Bentley University,1.6,Bachelors,Boston,F,N/A,1,N/A,0,Chef,1/19,1/22,Bus Driver,2/21,10/21,ML Engineer,12/15,12/19,1.07,0
96,Colgate University,2.8,Phd,Detroit,N/A,0,0,1,0,Chef,2/14,2/15,Lawyer,9/11,9/14,ML Engineer,10/18,10/19,6.48,0
97,Bentley University,1.4,Masters,Chicago,N/A,1,0,1,3,Data scientist,6/15,6/19,Senior SWE,8/19,11/19,Senior SWE,3/14,4/14,6.8,0
98,SUNY New Paltz,1.4,Bachelors,Boston,F,N/A,0,N/A,1,Bus Driver,3/18,6/18,ML Engineer,12/21,12/22,Chef,2/11,2/17,4.31,0
99,Rhode Island School of Design,3.3,Phd,Los Angeles,N/A,N/A,1,N/A,1,Data scientist,5/20,10/20,Chef,1/18,1/22,Bus Driver,10/22,12/22,8.36,0
100,SUNY Binghamton University,1.2,Masters,Los Angeles,F,N/A,0,1,2,Junior SWE,3/20,3/22,Lawyer,9/11,9/12,Lawyer,8/15,10/15,4.2,0
101,SUNY New Paltz,2.2,Bachelors,Detroit,N/A,N/A,0,1,1,Junior SWE,1/16,1/21,N/A,N/A,N/A,N/A,N/A,N/A,9.59,0
102,Brown University,1.5,Masters,Miami,N/A,1,1,N/A,3,Bus Driver,2/20,N/A,Bus Driver,9/12,9/13,Chef,2/11,7/11,1.46,0
103,Bentley University,1.2,Bachelors,Washington D.C.,F,1,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.56,1
104,Columbia University,2.2,Phd,Detroit,M,1,1,N/A,4,ML Engineer,8/11,9/11,N/A,N/A,N/A,N/A,N/A,N/A,3.02,0
105,Providence College,1.3,Masters,Providence,F,1,1,0,0,Junior SWE,5/10,11/10,Junior SWE,8/12,8/19,Bus Driver,5/18,5/19,1.7,1
106,Columbia University,1.5,Bachelors,Chicago,M,0,0,1,1,Lawyer,1/10,1/12,N/A,N/A,N/A,N/A,N/A,N/A,3.96,0
107,Bentley University,2.2,Phd,Chicago,F,N/A,1,N/A,0,Lawyer,7/15,7/18,Chef,3/21,4/21,Junior SWE,1/19,1/20,1.37,0
108,Providence College,1.4,Bachelors,Washington D.C.,M,0,0,N/A,2,Chef,2/13,2/16,Lawyer,9/21,9/22,Junior SWE,9/14,11/14,5.48,0
109,SUNY Binghamton University,3.2,Masters,New York City,F,0,1,0,1,Junior SWE,7/23,12/23,Bus Driver,8/10,12/10,Chef,11/11,11/22,8.56,0
110,Brown University,1.9,Phd,New York City,N/A,N/A,1,1,1,Junior SWE,2/23,10/23,ML Engineer,1/17,9/17,Lawyer,6/10,6/19,6.38,0
111,Columbia University,2.7,Bachelors,New York City,F,N/A,0,0,1,ML Engineer,6/12,6/16,Chef,6/15,6/21,Lawyer,3/10,3/15,5.23,0
112,Brown University,1.3,Masters,Washington D.C.,F,1,1,1,0,Junior SWE,2/22,3/22,N/A,N/A,N/A,N/A,N/A,N/A,8.87,0
113,Providence College,1.7,Bachelors,New York City,N/A,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.99,0
114,SUNY Binghamton University,1.7,Masters,Washington D.C.,M,0,1,0,4,Bus Driver,6/11,6/19,Lawyer,11/23,12/23,Bus Driver,2/19,2/21,4.0,0
115,Colgate University,3.7,Bachelors,New York City,M,0,0,1,4,Lawyer,11/21,11/22,Chef,8/15,8/22,Bus Driver,9/15,11/15,7.61,0
116,Rhode Island School of Design,2.2,Masters,New York City,F,N/A,1,0,3,Lawyer,10/23,11/23,N/A,N/A,N/A,N/A,N/A,N/A,1.41,0
117,Colgate University,2.8,Bachelors,Providence,M,1,1,0,3,Chef,12/16,12/17,N/A,N/A,N/A,N/A,N/A,N/A,2.81,1
118,Rhode Island School of Design,2.9,Bachelors,New York City,F,N/A,1,1,3,Data scientist,8/18,8/19,Junior SWE,4/16,4/18,Senior SWE,3/14,3/16,2.03,0
119,Columbia University,1.5,Phd,Detroit,F,0,0,1,1,Chef,12/16,12/18,Bus Driver,7/23,8/23,Data scientist,11/16,12/16,2.66,0
120,SUNY New Paltz,1.5,Masters,Detroit,M,N/A,1,1,1,Junior SWE,4/19,4/20,Bus Driver,3/22,6/22,N/A,N/A,N/A,7.03,1
121,Columbia University,2.2,Bachelors,New York City,F,1,0,N/A,1,Lawyer,12/23,1/24,Lawyer,4/19,4/22,Senior SWE,12/13,1/14,4.19,0
122,Bentley University,2.5,Masters,New York City,F,1,0,0,3,Bus Driver,4/22,10/22,Bus Driver,1/18,1/22,Senior SWE,12/16,12/22,8.1,0
123,Rhode Island School of Design,3.9,Bachelors,Detroit,F,0,0,1,0,Bus Driver,5/21,N/A,Lawyer,3/23,4/23,Senior SWE,11/19,11/21,4.98,0
124,SUNY New Paltz,3.0,Phd,Detroit,M,1,0,N/A,0,Junior SWE,8/21,8/22,ML Engineer,1/15,1/20,N/A,N/A,N/A,4.97,0
125,Providence College,2.3,Phd,Los Angeles,F,N/A,1,1,0,Data scientist,5/22,12/22,N/A,N/A,N/A,N/A,N/A,N/A,4.32,0
126,Bentley University,1.6,Phd,Detroit,M,1,0,N/A,4,Senior SWE,2/18,2/21,Lawyer,4/16,4/21,Senior SWE,2/23,11/23,8.39,1
127,Colgate University,1.9,Bachelors,Miami,F,1,0,N/A,1,Lawyer,11/14,11/20,Chef,2/12,2/13,Data scientist,3/18,3/20,7.39,0
128,Bentley University,2.4,Masters,Chicago,M,0,0,0,0,ML Engineer,4/12,4/21,Junior SWE,1/12,1/20,Chef,2/18,2/22,4.58,0
129,Bentley University,4.0,Masters,Miami,N/A,0,1,N/A,1,Data scientist,4/15,4/18,Junior SWE,10/17,10/18,N/A,N/A,N/A,5.62,0
130,Providence College,1.6,Masters,Chicago,F,1,0,N/A,2,Lawyer,4/10,4/11,N/A,N/A,N/A,N/A,N/A,N/A,2.39,0
131,Rhode Island School of Design,3.7,Masters,Chicago,F,N/A,0,1,2,Senior SWE,2/22,9/22,Junior SWE,7/19,7/21,Bus Driver,8/22,10/22,9.42,0
132,Rhode Island School of Design,1.3,Masters,New York City,M,1,0,0,1,Senior SWE,7/15,7/20,Lawyer,7/12,7/18,N/A,N/A,N/A,5.62,1
133,Columbia University,3.7,Phd,Detroit,F,N/A,0,N/A,3,Junior SWE,1/12,1/15,Data scientist,10/12,10/13,N/A,N/A,N/A,3.48,0
134,Columbia University,2.7,Masters,Boston,N/A,1,0,N/A,3,Data scientist,12/15,12/17,Data scientist,12/20,1/21,Lawyer,4/15,4/18,8.66,0
135,SUNY Binghamton University,2.2,Phd,Miami,N/A,N/A,0,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.77,0
136,Colgate University,1.8,Phd,New York City,F,N/A,1,0,0,Senior SWE,12/12,N/A,Junior SWE,1/10,1/13,Lawyer,10/23,11/23,5.03,1
137,Columbia University,1.4,Bachelors,New York City,F,N/A,0,1,2,Data scientist,8/21,8/22,Bus Driver,7/11,9/11,Senior SWE,11/21,11/22,3.12,0
138,Bentley University,3.5,Phd,Boston,N/A,1,1,1,0,Lawyer,3/16,N/A,Junior SWE,1/20,7/20,Lawyer,1/13,1/19,7.79,0
139,Brown University,3.1,Bachelors,Washington D.C.,N/A,N/A,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.38,0
140,Providence College,2.6,Bachelors,Boston,M,N/A,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.84,1
141,Providence College,1.6,Phd,Providence,F,0,0,N/A,2,ML Engineer,10/12,10/18,N/A,N/A,N/A,N/A,N/A,N/A,8.57,0
142,Providence College,2.5,Bachelors,Los Angeles,M,1,1,1,3,Lawyer,1/16,N/A,Junior SWE,7/20,8/20,Chef,9/17,11/17,7.63,0
143,Rhode Island School of Design,3.1,Bachelors,Los Angeles,F,N/A,1,0,3,ML Engineer,9/20,9/21,Senior SWE,11/18,11/21,Senior SWE,6/14,6/22,4.14,1
144,Colgate University,1.6,Bachelors,New York City,F,1,0,N/A,4,ML Engineer,7/13,7/18,Data scientist,8/14,8/22,Data scientist,11/23,12/23,2.96,0
145,Bentley University,3.9,Phd,New York City,N/A,1,1,N/A,4,Bus Driver,6/18,6/19,Bus Driver,7/23,9/23,Senior SWE,1/20,1/22,3.71,0
146,Providence College,2.0,Bachelors,Los Angeles,N/A,0,1,1,2,Lawyer,12/11,12/14,Bus Driver,1/23,8/23,Junior SWE,10/12,12/12,5.36,0
147,Bentley University,2.4,Masters,Washington D.C.,M,1,0,0,0,Senior SWE,5/10,5/19,Data scientist,11/12,11/17,Data scientist,2/20,2/22,5.38,1
148,Bentley University,1.5,Masters,New York City,M,N/A,0,N/A,4,Chef,11/22,12/22,Chef,3/18,3/21,Chef,3/23,6/23,2.11,0
149,Rhode Island School of Design,3.5,Bachelors,Boston,F,1,1,1,3,Chef,6/21,6/22,Lawyer,1/11,6/11,Lawyer,3/23,4/23,2.98,0
150,Columbia University,3.9,Phd,Miami,F,1,0,0,0,Junior SWE,12/23,1/24,Data scientist,6/22,8/22,Data scientist,8/22,10/22,4.07,0
151,SUNY Binghamton University,1.6,Bachelors,Chicago,M,0,1,N/A,3,Bus Driver,7/20,7/21,N/A,N/A,N/A,N/A,N/A,N/A,6.85,1
152,SUNY Binghamton University,3.6,Phd,Washington D.C.,N/A,1,0,1,1,Data scientist,7/17,7/21,N/A,N/A,N/A,N/A,N/A,N/A,6.19,0
153,Providence College,2.4,Phd,Miami,M,0,0,0,3,Chef,12/17,12/19,Lawyer,10/14,10/20,N/A,N/A,N/A,0.99,1
154,Colgate University,2.1,Phd,Miami,N/A,1,0,1,1,Data scientist,1/15,1/19,Chef,8/20,8/21,Senior SWE,7/10,7/15,0.48,0
155,Rhode Island School of Design,2.7,Bachelors,Detroit,N/A,N/A,0,0,3,ML Engineer,8/22,11/22,Junior SWE,10/13,10/20,Bus Driver,7/21,9/21,4.59,0
156,Rhode Island School of Design,2.7,Bachelors,Boston,M,0,1,0,2,Lawyer,6/13,6/16,Chef,8/10,8/16,N/A,N/A,N/A,8.91,0
157,Columbia University,3.1,Phd,Washington D.C.,F,N/A,0,0,2,Bus Driver,8/18,8/21,Data scientist,9/17,9/20,Bus Driver,11/13,11/15,1.48,0
158,Providence College,1.8,Bachelors,Boston,M,0,0,0,4,Junior SWE,2/13,2/16,Bus Driver,12/20,12/22,N/A,N/A,N/A,4.03,1
159,Colgate University,3.5,Masters,Chicago,N/A,0,0,0,0,Lawyer,5/21,5/22,Senior SWE,3/14,3/20,ML Engineer,9/21,12/21,9.18,0
160,SUNY Binghamton University,1.4,Masters,Miami,M,0,1,N/A,4,Lawyer,3/13,N/A,Data scientist,11/10,11/22,N/A,N/A,N/A,8.72,1
161,Rhode Island School of Design,1.8,Masters,Providence,N/A,1,1,N/A,1,Bus Driver,3/23,5/23,Senior SWE,8/20,8/21,N/A,N/A,N/A,9.6,0
162,Providence College,3.2,Masters,Chicago,M,1,1,1,1,Data scientist,6/10,6/13,Senior SWE,3/19,4/19,Chef,1/17,1/18,3.34,0
163,Bentley University,3.4,Bachelors,Chicago,M,1,1,N/A,4,Junior SWE,10/22,N/A,ML Engineer,10/21,11/21,Lawyer,3/18,3/21,2.57,0
164,Providence College,2.4,Bachelors,Los Angeles,F,N/A,0,N/A,1,Lawyer,9/20,9/21,Junior SWE,7/23,8/23,Junior SWE,6/23,9/23,7.82,0
165,SUNY Binghamton University,1.2,Bachelors,Boston,M,1,0,1,0,Lawyer,3/16,3/20,ML Engineer,5/12,5/14,Chef,10/18,10/22,3.09,0
166,Columbia University,2.6,Masters,Boston,M,N/A,0,0,1,ML Engineer,1/11,1/19,Chef,11/16,11/18,Data scientist,7/22,12/22,8.27,1
167,Brown University,1.9,Masters,Boston,M,1,1,0,0,Chef,5/10,5/14,Senior SWE,2/23,4/23,Data scientist,10/17,10/18,8.69,0
