Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
103,Bentley University,1.2,Bachelors,Washington D.C.,F,1,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,Columbia University,2.200000000000001,Phd,Detroit,M,1,1,N/A,4,ML Engineer,8/11,9/11,N/A,N/A,N/A,N/A,N/A,N/A
105,Providence College,1.3,Masters,Providence,F,1,1,0,0,Junior SWE,5/10,11/10,Junior SWE,8/12,8/19,Bus Driver,5/18,5/19
106,Columbia University,1.5000000000000002,Bachelors,Chicago,M,0,0,1,1,Lawyer,1/10,1/12,N/A,N/A,N/A,N/A,N/A,N/A
107,Bentley University,2.200000000000001,Phd,Chicago,F,N/A,1,N/A,0,Lawyer,7/15,7/18,Chef,3/21,4/21,Junior SWE,1/19,1/20
108,Providence College,1.4000000000000001,Bachelors,Washington D.C.,M,0,0,N/A,2,Chef,2/13,2/16,Lawyer,9/21,9/22,Junior SWE,9/14,11/14
109,SUNY Binghamton University,3.200000000000002,Masters,New York City,F,0,1,0,1,Junior SWE,7/23,12/23,Bus Driver,8/10,12/10,Chef,11/11,11/22
110,Brown University,1.9000000000000006,Phd,New York City,N/A,N/A,1,1,1,Junior SWE,2/23,10/23,ML Engineer,1/17,9/17,Lawyer,6/10,6/19
111,Columbia University,2.700000000000001,Bachelors,New York City,F,N/A,0,0,1,ML Engineer,6/12,6/16,Chef,6/15,6/21,Lawyer,3/10,3/15
112,Brown University,1.3,Masters,Washington D.C.,F,1,1,1,0,Junior SWE,2/22,3/22,N/A,N/A,N/A,N/A,N/A,N/A
113,Providence College,1.7000000000000004,Bachelors,New York City,N/A,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,SUNY Binghamton University,1.7000000000000004,Masters,Washington D.C.,M,0,1,0,4,Bus Driver,6/11,6/19,Lawyer,11/23,12/23,Bus Driver,2/19,2/21
115,Colgate University,3.700000000000002,Bachelors,New York City,M,0,0,1,4,Lawyer,11/21,11/22,Chef,8/15,8/22,Bus Driver,9/15,11/15
116,Rhode Island School of Design,2.200000000000001,Masters,New York City,F,N/A,1,0,3,Lawyer,10/23,11/23,N/A,N/A,N/A,N/A,N/A,N/A
117,Colgate University,2.8000000000000016,Bachelors,Providence,M,1,1,0,3,Chef,12/16,12/17,N/A,N/A,N/A,N/A,N/A,N/A
118,Rhode Island School of Design,2.9000000000000012,Bachelors,New York City,F,N/A,1,1,3,Data scientist,8/18,8/19,Junior SWE,4/16,4/18,Senior SWE,3/14,3/16
119,Columbia University,1.5000000000000002,Phd,Detroit,F,0,0,1,1,Chef,12/16,12/18,Bus Driver,7/23,8/23,Data scientist,11/16,12/16
120,SUNY New Paltz,1.5000000000000002,Masters,Detroit,M,N/A,1,1,1,Junior SWE,4/19,4/20,Bus Driver,3/22,6/22,N/A,N/A,N/A
121,Columbia University,2.200000000000001,Bachelors,New York City,F,1,0,N/A,1,Lawyer,12/23,1/24,Lawyer,4/19,4/22,Senior SWE,12/13,1/14
122,Bentley University,2.500000000000001,Masters,New York City,F,1,0,0,3,Bus Driver,4/22,10/22,Bus Driver,1/18,1/22,Senior SWE,12/16,12/22
123,Rhode Island School of Design,3.900000000000002,Bachelors,Detroit,F,0,0,1,0,Bus Driver,5/21,N/A,Lawyer,3/23,4/23,Senior SWE,11/19,11/21
124,SUNY New Paltz,3.0000000000000018,Phd,Detroit,M,1,0,N/A,0,Junior SWE,8/21,8/22,ML Engineer,1/15,1/20,N/A,N/A,N/A
125,Providence College,2.3000000000000007,Phd,Los Angeles,F,N/A,1,1,0,Data scientist,5/22,12/22,N/A,N/A,N/A,N/A,N/A,N/A
126,Bentley University,1.6000000000000003,Phd,Detroit,M,1,0,N/A,4,Senior SWE,2/18,2/21,Lawyer,4/16,4/21,Senior SWE,2/23,11/23
127,Colgate University,1.9000000000000006,Bachelors,Miami,F,1,0,N/A,1,Lawyer,11/14,11/20,Chef,2/12,2/13,Data scientist,3/18,3/20
128,Bentley University,2.4000000000000012,Masters,Chicago,M,0,0,0,0,ML Engineer,4/12,4/21,Junior SWE,1/12,1/20,Chef,2/18,2/22
129,Bentley University,4.000000000000003,Masters,Miami,N/A,0,1,N/A,1,Data scientist,4/15,4/18,Junior SWE,10/17,10/18,N/A,N/A,N/A
130,Providence College,1.6000000000000003,Masters,Chicago,F,1,0,N/A,2,Lawyer,4/10,4/11,N/A,N/A,N/A,N/A,N/A,N/A
131,Rhode Island School of Design,3.700000000000002,Masters,Chicago,F,N/A,0,1,2,Senior SWE,2/22,9/22,Junior SWE,7/19,7/21,Bus Driver,8/22,10/22
132,Rhode Island School of Design,1.3,Masters,New York City,M,1,0,0,1,Senior SWE,7/15,7/20,Lawyer,7/12,7/18,N/A,N/A,N/A
133,Columbia University,3.700000000000002,Phd,Detroit,F,N/A,0,N/A,3,Junior SWE,1/12,1/15,Data scientist,10/12,10/13,N/A,N/A,N/A
134,Columbia University,2.700000000000001,Masters,Boston,N/A,1,0,N/A,3,Data scientist,12/15,12/17,Data scientist,12/20,1/21,Lawyer,4/15,4/18
135,SUNY Binghamton University,2.200000000000001,Phd,Miami,N/A,N/A,0,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
136,Colgate University,1.8000000000000005,Phd,New York City,F,N/A,1,0,0,Senior SWE,12/12,N/A,Junior SWE,1/10,1/13,Lawyer,10/23,11/23
137,Columbia University,1.4000000000000001,Bachelors,New York City,F,N/A,0,1,2,Data scientist,8/21,8/22,Bus Driver,7/11,9/11,Senior SWE,11/21,11/22
138,Bentley University,3.5000000000000018,Phd,Boston,N/A,1,1,1,0,Lawyer,3/16,N/A,Junior SWE,1/20,7/20,Lawyer,1/13,1/19
139,Brown University,3.1000000000000014,Bachelors,Washington D.C.,N/A,N/A,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
140,Providence College,2.6000000000000014,Bachelors,Boston,M,N/A,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
141,Providence College,1.6000000000000003,Phd,Providence,F,0,0,N/A,2,ML Engineer,10/12,10/18,N/A,N/A,N/A,N/A,N/A,N/A
142,Providence College,2.500000000000001,Bachelors,Los Angeles,M,1,1,1,3,Lawyer,1/16,N/A,Junior SWE,7/20,8/20,Chef,9/17,11/17
143,Rhode Island School of Design,3.1000000000000014,Bachelors,Los Angeles,F,N/A,1,0,3,ML Engineer,9/20,9/21,Senior SWE,11/18,11/21,Senior SWE,6/14,6/22
144,Colgate University,1.6000000000000003,Bachelors,New York City,F,1,0,N/A,4,ML Engineer,7/13,7/18,Data scientist,8/14,8/22,Data scientist,11/23,12/23
145,Bentley University,3.900000000000002,Phd,New York City,N/A,1,1,N/A,4,Bus Driver,6/18,6/19,Bus Driver,7/23,9/23,Senior SWE,1/20,1/22
146,Providence College,2.000000000000001,Bachelors,Los Angeles,N/A,0,1,1,2,Lawyer,12/11,12/14,Bus Driver,1/23,8/23,Junior SWE,10/12,12/12
147,Bentley University,2.4000000000000012,Masters,Washington D.C.,M,1,0,0,0,Senior SWE,5/10,5/19,Data scientist,11/12,11/17,Data scientist,2/20,2/22
148,Bentley University,1.5000000000000002,Masters,New York City,M,N/A,0,N/A,4,Chef,11/22,12/22,Chef,3/18,3/21,Chef,3/23,6/23
149,Rhode Island School of Design,3.5000000000000018,Bachelors,Boston,F,1,1,1,3,Chef,6/21,6/22,Lawyer,1/11,6/11,Lawyer,3/23,4/23
150,Columbia University,3.900000000000002,Phd,Miami,F,1,0,0,0,Junior SWE,12/23,1/24,Data scientist,6/22,8/22,Data scientist,8/22,10/22
151,SUNY Binghamton University,1.6000000000000003,Bachelors,Chicago,M,0,1,N/A,3,Bus Driver,7/20,7/21,N/A,N/A,N/A,N/A,N/A,N/A
152,SUNY Binghamton University,3.6000000000000023,Phd,Washington D.C.,N/A,1,0,1,1,Data scientist,7/17,7/21,N/A,N/A,N/A,N/A,N/A,N/A
153,Providence College,2.4000000000000012,Phd,Miami,M,0,0,0,3,Chef,12/17,12/19,Lawyer,10/14,10/20,N/A,N/A,N/A
154,Colgate University,2.1000000000000005,Phd,Miami,N/A,1,0,1,1,Data scientist,1/15,1/19,Chef,8/20,8/21,Senior SWE,7/10,7/15
155,Rhode Island School of Design,2.700000000000001,Bachelors,Detroit,N/A,N/A,0,0,3,ML Engineer,8/22,11/22,Junior SWE,10/13,10/20,Bus Driver,7/21,9/21
156,Rhode Island School of Design,2.700000000000001,Bachelors,Boston,M,0,1,0,2,Lawyer,6/13,6/16,Chef,8/10,8/16,N/A,N/A,N/A
157,Columbia University,3.1000000000000014,Phd,Washington D.C.,F,N/A,0,0,2,Bus Driver,8/18,8/21,Data scientist,9/17,9/20,Bus Driver,11/13,11/15
158,Providence College,1.8000000000000005,Bachelors,Boston,M,0,0,0,4,Junior SWE,2/13,2/16,Bus Driver,12/20,12/22,N/A,N/A,N/A
159,Colgate University,3.5000000000000018,Masters,Chicago,N/A,0,0,0,0,Lawyer,5/21,5/22,Senior SWE,3/14,3/20,ML Engineer,9/21,12/21
160,SUNY Binghamton University,1.4000000000000001,Masters,Miami,M,0,1,N/A,4,Lawyer,3/13,N/A,Data scientist,11/10,11/22,N/A,N/A,N/A
161,Rhode Island School of Design,1.8000000000000005,Masters,Providence,N/A,1,1,N/A,1,Bus Driver,3/23,5/23,Senior SWE,8/20,8/21,N/A,N/A,N/A
162,Providence College,3.200000000000002,Masters,Chicago,M,1,1,1,1,Data scientist,6/10,6/13,Senior SWE,3/19,4/19,Chef,1/17,1/18
163,Bentley University,3.400000000000002,Bachelors,Chicago,M,1,1,N/A,4,Junior SWE,10/22,N/A,ML Engineer,10/21,11/21,Lawyer,3/18,3/21
164,Providence College,2.4000000000000012,Bachelors,Los Angeles,F,N/A,0,N/A,1,Lawyer,9/20,9/21,Junior SWE,7/23,8/23,Junior SWE,6/23,9/23
165,SUNY Binghamton University,1.2,Bachelors,Boston,M,1,0,1,0,Lawyer,3/16,3/20,ML Engineer,5/12,5/14,Chef,10/18,10/22
166,Columbia University,2.6000000000000014,Masters,Boston,M,N/A,0,0,1,ML Engineer,1/11,1/19,Chef,11/16,11/18,Data scientist,7/22,12/22
167,Brown University,1.9000000000000006,Masters,Boston,M,1,1,0,0,Chef,5/10,5/14,Senior SWE,2/23,4/23,Data scientist,10/17,10/18
168,SUNY New Paltz,3.6000000000000023,Bachelors,Providence,N/A,1,1,N/A,2,ML Engineer,3/11,3/15,Chef,9/12,9/21,N/A,N/A,N/A
169,Rhode Island School of Design,1.2,Bachelors,Miami,F,N/A,1,1,1,Lawyer,2/12,2/17,Chef,12/18,12/21,Chef,3/14,3/21
170,Bentley University,4.000000000000003,Masters,Washington D.C.,N/A,0,0,0,3,Chef,5/19,5/20,ML Engineer,10/12,10/19,N/A,N/A,N/A
171,Columbia University,2.9000000000000012,Masters,Chicago,M,N/A,1,N/A,4,Junior SWE,2/14,2/17,Senior SWE,1/23,6/23,Lawyer,2/10,2/20
