Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
48,Colgate University,1.5000000000000002,Phd,Providence,F,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,Colgate University,3.700000000000002,Masters,Detroit,F,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,SUNY Binghamton University,2.000000000000001,Bachelors,Miami,F,N/A,0,1,1,Data scientist,12/12,N/A,Chef,1/22,2/22,Data scientist,6/10,11/10
51,SUNY Binghamton University,3.8000000000000025,Bachelors,Washington D.C.,M,N/A,1,0,4,Data scientist,3/10,3/14,ML Engineer,6/13,6/18,Junior SWE,3/22,8/22
52,Providence College,2.1000000000000005,Bachelors,Providence,N/A,0,0,0,4,Chef,6/17,6/19,Junior SWE,7/23,12/23,ML Engineer,12/17,12/19
53,Colgate University,3.700000000000002,Phd,Washington D.C.,M,0,1,1,3,Lawyer,8/15,8/19,Lawyer,10/17,10/20,Lawyer,7/21,7/22
54,SUNY Binghamton University,1.7000000000000004,Bachelors,Chicago,N/A,N/A,0,1,3,Lawyer,8/12,8/20,ML Engineer,10/10,10/16,Senior SWE,5/16,5/21
55,Rhode Island School of Design,4.000000000000003,Bachelors,Boston,M,N/A,0,0,2,ML Engineer,6/17,6/19,N/A,N/A,N/A,N/A,N/A,N/A
56,Bentley University,2.6000000000000014,Phd,Washington D.C.,M,0,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Providence College,2.000000000000001,Bachelors,Miami,M,0,0,N/A,2,Chef,7/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A
58,Colgate University,3.900000000000002,Phd,Boston,F,0,1,1,1,Chef,11/11,11/12,Data scientist,10/14,10/22,ML Engineer,1/10,1/21
59,SUNY New Paltz,2.6000000000000014,Bachelors,Detroit,N/A,0,1,N/A,3,ML Engineer,12/16,12/17,ML Engineer,3/18,3/22,Junior SWE,4/20,11/20
60,Colgate University,3.200000000000002,Phd,Washington D.C.,M,1,1,0,3,ML Engineer,2/21,N/A,Senior SWE,7/15,7/18,Senior SWE,3/23,7/23
61,Rhode Island School of Design,3.700000000000002,Phd,Chicago,N/A,1,1,1,2,Senior SWE,9/16,11/16,Senior SWE,5/20,5/22,Senior SWE,12/14,12/17
62,Brown University,1.8000000000000005,Bachelors,Los Angeles,F,N/A,1,0,4,Bus Driver,2/11,2/14,Data scientist,12/20,12/22,Chef,5/20,5/22
63,Colgate University,3.1000000000000014,Bachelors,Miami,M,1,1,N/A,0,Junior SWE,3/13,3/18,Lawyer,5/23,7/23,Data scientist,10/16,10/17
64,Columbia University,1.3,Masters,New York City,M,0,1,1,1,ML Engineer,6/21,6/22,Chef,8/15,8/18,Junior SWE,1/17,1/21
65,SUNY New Paltz,3.0000000000000018,Phd,Miami,N/A,1,0,N/A,4,ML Engineer,11/20,11/21,Data scientist,6/18,10/18,Senior SWE,1/14,1/19
66,SUNY Binghamton University,2.000000000000001,Masters,Chicago,F,N/A,0,N/A,2,Bus Driver,8/14,8/17,ML Engineer,3/19,3/21,Bus Driver,11/16,11/22
67,SUNY Binghamton University,1.5000000000000002,Phd,Chicago,N/A,N/A,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68,Brown University,2.200000000000001,Phd,Providence,M,N/A,1,0,2,Senior SWE,4/12,4/15,Bus Driver,10/17,11/17,Chef,1/20,1/22
69,SUNY Binghamton University,3.0000000000000018,Masters,Detroit,M,0,0,0,2,Data scientist,3/15,3/17,Bus Driver,6/19,6/20,Junior SWE,5/20,8/20
70,Columbia University,3.700000000000002,Bachelors,New York City,F,N/A,0,0,0,ML Engineer,3/12,3/16,N/A,N/A,N/A,N/A,N/A,N/A
71,Colgate University,1.5000000000000002,Phd,Boston,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72,Providence College,2.200000000000001,Phd,New York City,F,1,1,N/A,2,ML Engineer,3/16,N/A,Senior SWE,8/11,8/18,Data scientist,2/14,2/22
73,Rhode Island School of Design,2.700000000000001,Phd,Los Angeles,M,N/A,0,0,0,Data scientist,4/11,4/18,ML Engineer,2/12,2/13,Data scientist,4/12,4/16
74,Bentley University,2.200000000000001,Masters,Detroit,F,1,0,N/A,4,ML Engineer,6/11,6/16,Junior SWE,7/12,7/20,ML Engineer,5/10,5/14
75,SUNY New Paltz,2.1000000000000005,Phd,Washington D.C.,M,N/A,0,0,3,Junior SWE,11/12,11/21,Junior SWE,5/11,5/22,ML Engineer,5/17,5/18
76,SUNY New Paltz,1.5000000000000002,Bachelors,Detroit,M,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,Colgate University,3.400000000000002,Phd,Boston,N/A,1,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,SUNY Binghamton University,3.900000000000002,Phd,Chicago,F,1,0,0,4,Chef,4/22,7/22,Chef,9/19,9/22,Lawyer,5/21,5/22
79,Providence College,1.8000000000000005,Bachelors,New York City,F,0,1,N/A,3,Lawyer,6/13,6/17,Chef,1/22,9/22,Senior SWE,4/22,12/22
80,SUNY New Paltz,3.200000000000002,Masters,New York City,M,1,0,1,4,Bus Driver,1/17,6/17,Data scientist,8/16,8/19,Data scientist,10/23,12/23
81,Columbia University,1.8000000000000005,Phd,Providence,M,1,1,N/A,4,Data scientist,3/22,9/22,Lawyer,12/12,12/13,Lawyer,11/13,11/20
82,SUNY New Paltz,1.4000000000000001,Masters,Providence,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,SUNY Binghamton University,4.000000000000003,Phd,Chicago,F,N/A,1,0,0,Lawyer,4/21,11/21,Data scientist,5/21,5/22,Junior SWE,9/20,9/22
84,Columbia University,3.900000000000002,Bachelors,Providence,N/A,N/A,0,1,2,Chef,9/22,12/22,Bus Driver,2/15,2/22,Bus Driver,2/17,2/20
85,Bentley University,3.700000000000002,Phd,Detroit,F,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86,Rhode Island School of Design,2.500000000000001,Phd,Miami,M,N/A,0,1,4,Data scientist,3/10,3/21,Senior SWE,11/20,11/21,Chef,5/23,11/23
87,SUNY Binghamton University,2.4000000000000012,Masters,Providence,N/A,N/A,0,0,1,Data scientist,6/13,6/17,Data scientist,7/13,9/13,ML Engineer,2/19,2/21
88,SUNY New Paltz,2.8000000000000016,Bachelors,Detroit,N/A,0,1,N/A,0,Lawyer,7/11,N/A,Bus Driver,12/16,1/17,Data scientist,10/20,12/20
89,SUNY Binghamton University,1.2,Bachelors,Washington D.C.,M,1,1,0,3,Data scientist,9/10,9/13,Data scientist,4/15,4/18,Chef,5/14,5/18
90,Brown University,3.400000000000002,Phd,Miami,F,0,1,0,3,Lawyer,8/23,10/23,Data scientist,6/16,12/16,Bus Driver,5/14,5/17
91,Brown University,3.0000000000000018,Phd,Washington D.C.,N/A,N/A,1,0,3,Data scientist,2/14,8/14,Senior SWE,6/15,6/21,Senior SWE,1/10,1/21
92,SUNY New Paltz,2.200000000000001,Phd,Miami,N/A,N/A,0,1,4,Bus Driver,8/20,11/20,Senior SWE,5/17,5/20,N/A,N/A,N/A
93,Columbia University,3.1000000000000014,Masters,Washington D.C.,M,N/A,0,1,4,ML Engineer,5/22,6/22,Junior SWE,9/18,9/21,Lawyer,6/21,8/21
94,Brown University,3.5000000000000018,Phd,Detroit,F,0,1,1,0,Bus Driver,5/23,8/23,ML Engineer,8/23,12/23,Bus Driver,11/21,11/22
95,Brown University,1.7000000000000004,Bachelors,New York City,M,0,1,N/A,1,Lawyer,4/15,N/A,Bus Driver,8/11,8/17,Chef,1/18,1/22
96,SUNY Binghamton University,2.200000000000001,Masters,Washington D.C.,N/A,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
97,Colgate University,1.9000000000000006,Masters,Miami,N/A,0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
98,SUNY New Paltz,2.8000000000000016,Phd,Providence,N/A,0,0,1,4,ML Engineer,10/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
99,Bentley University,3.0000000000000018,Masters,Miami,F,N/A,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,SUNY New Paltz,3.900000000000002,Phd,Providence,N/A,N/A,0,1,1,Lawyer,10/16,10/22,Lawyer,4/10,4/17,Lawyer,7/14,7/20
101,Bentley University,2.700000000000001,Masters,Boston,M,0,0,0,2,ML Engineer,8/16,8/18,Bus Driver,11/22,12/22,Chef,8/21,9/21
102,Bentley University,3.6000000000000023,Masters,Providence,F,1,0,0,2,Lawyer,2/10,2/19,Bus Driver,3/19,11/19,ML Engineer,6/16,6/20
103,Providence College,3.700000000000002,Masters,New York City,M,N/A,0,0,2,Senior SWE,10/23,11/23,Junior SWE,9/19,11/19,Junior SWE,9/15,9/20
104,Rhode Island School of Design,1.3,Phd,Providence,N/A,N/A,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,Brown University,4.000000000000003,Phd,Miami,M,0,0,N/A,2,Data scientist,2/18,2/22,ML Engineer,10/13,10/17,Junior SWE,5/12,5/20
106,SUNY Binghamton University,2.700000000000001,Phd,Boston,F,N/A,0,1,2,Senior SWE,6/19,7/19,Lawyer,6/18,6/22,Data scientist,12/21,12/22
107,Columbia University,2.4000000000000012,Phd,Los Angeles,M,N/A,0,N/A,4,Senior SWE,9/23,10/23,Data scientist,6/21,8/21,ML Engineer,12/18,12/22
108,Providence College,1.4000000000000001,Masters,Los Angeles,F,1,1,1,1,ML Engineer,10/17,10/20,Senior SWE,12/12,12/20,Data scientist,12/14,12/19
109,Colgate University,3.6000000000000023,Phd,Providence,N/A,N/A,0,0,1,Lawyer,8/23,10/23,Junior SWE,5/10,5/14,Junior SWE,3/14,3/19
110,Providence College,1.3,Bachelors,Detroit,M,0,1,0,3,Data scientist,9/22,12/22,ML Engineer,2/18,2/21,Chef,9/20,9/22
111,Colgate University,2.000000000000001,Bachelors,Detroit,N/A,1,0,N/A,2,ML Engineer,3/23,5/23,Senior SWE,12/22,1/23,Data scientist,6/13,6/17
112,Colgate University,3.400000000000002,Phd,New York City,F,1,0,0,0,Junior SWE,10/23,12/23,Bus Driver,10/14,12/14,Chef,5/20,7/20
113,Colgate University,1.5000000000000002,Bachelors,Miami,F,N/A,1,N/A,2,Senior SWE,3/17,3/22,Data scientist,12/12,12/18,Senior SWE,4/15,4/18
114,SUNY Binghamton University,1.8000000000000005,Masters,Detroit,N/A,N/A,0,N/A,3,Data scientist,10/11,N/A,ML Engineer,5/19,5/20,Bus Driver,5/22,8/22
115,Columbia University,3.6000000000000023,Masters,Washington D.C.,M,N/A,1,1,1,Bus Driver,8/19,8/20,Chef,1/21,7/21,Data scientist,11/17,11/19
116,Brown University,1.6000000000000003,Phd,Detroit,M,1,1,0,1,ML Engineer,1/14,1/15,Junior SWE,9/17,9/20,Senior SWE,7/16,7/20
117,Bentley University,2.4000000000000012,Masters,Providence,F,N/A,0,N/A,2,Lawyer,7/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,SUNY Binghamton University,1.9000000000000006,Bachelors,Providence,N/A,N/A,1,N/A,4,ML Engineer,2/20,N/A,Senior SWE,3/15,3/19,Senior SWE,10/21,12/21
119,Columbia University,2.000000000000001,Phd,Chicago,F,0,1,0,2,ML Engineer,1/11,1/13,ML Engineer,4/12,4/20,Lawyer,4/16,4/18
120,Columbia University,2.000000000000001,Bachelors,Detroit,M,1,1,0,3,Junior SWE,1/23,5/23,Data scientist,10/13,10/22,Junior SWE,9/20,9/21
121,SUNY New Paltz,1.6000000000000003,Masters,Miami,N/A,1,0,1,2,ML Engineer,7/21,7/22,Chef,11/14,11/15,N/A,N/A,N/A
122,Columbia University,2.000000000000001,Bachelors,Miami,N/A,1,1,1,1,Chef,10/18,11/18,Junior SWE,12/10,12/14,Junior SWE,8/11,8/12
123,SUNY New Paltz,3.0000000000000018,Bachelors,Washington D.C.,N/A,N/A,0,1,3,Bus Driver,8/13,8/18,Lawyer,5/19,5/22,Bus Driver,2/14,2/18
124,Rhode Island School of Design,3.5000000000000018,Masters,New York City,M,0,0,N/A,0,Bus Driver,12/18,12/21,Data scientist,12/14,12/20,Senior SWE,5/23,9/23
125,Bentley University,1.5000000000000002,Bachelors,Detroit,N/A,0,1,N/A,0,Data scientist,11/14,11/18,Lawyer,6/15,6/20,Bus Driver,11/19,11/21
126,Brown University,2.4000000000000012,Masters,New York City,M,N/A,0,1,1,Data scientist,3/10,3/17,Lawyer,7/18,7/19,Chef,8/16,8/22
127,Colgate University,2.6000000000000014,Phd,Los Angeles,M,N/A,0,N/A,4,Senior SWE,11/21,12/21,Chef,2/13,2/17,Senior SWE,10/23,12/23
128,Colgate University,1.6000000000000003,Bachelors,Providence,F,0,1,N/A,1,Data scientist,5/14,N/A,Junior SWE,3/11,3/12,Senior SWE,5/13,5/18
129,SUNY Binghamton University,3.0000000000000018,Phd,New York City,M,N/A,0,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
130,SUNY New Paltz,4.000000000000003,Bachelors,Miami,N/A,0,0,N/A,1,Data scientist,9/14,9/16,Senior SWE,6/11,6/18,Senior SWE,3/16,3/17
131,Colgate University,1.5000000000000002,Phd,Chicago,F,1,1,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132,Providence College,3.1000000000000014,Masters,Providence,F,1,0,N/A,2,Data scientist,4/12,4/17,Chef,11/17,11/19,Bus Driver,5/22,7/22
133,Colgate University,3.8000000000000025,Bachelors,Washington D.C.,N/A,0,0,0,0,Bus Driver,7/18,N/A,Junior SWE,7/14,7/20,Senior SWE,12/11,12/21
134,SUNY New Paltz,3.6000000000000023,Phd,Chicago,N/A,N/A,1,N/A,1,ML Engineer,11/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A
135,Columbia University,1.3,Bachelors,Chicago,M,0,0,1,0,Lawyer,10/20,11/20,Bus Driver,4/16,4/18,Bus Driver,11/13,11/16
136,Bentley University,2.8000000000000016,Masters,Chicago,M,0,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
137,Columbia University,1.6000000000000003,Phd,Providence,N/A,1,0,N/A,2,ML Engineer,8/18,N/A,ML Engineer,6/11,6/20,Junior SWE,6/17,6/21
138,Colgate University,2.8000000000000016,Bachelors,Providence,M,0,1,1,0,Bus Driver,8/17,8/18,Chef,8/10,8/18,Lawyer,12/23,1/24
139,Columbia University,2.8000000000000016,Phd,Miami,M,1,0,1,1,Data scientist,6/11,7/11,Junior SWE,4/21,4/22,Lawyer,4/11,4/21
140,Bentley University,1.8000000000000005,Phd,Miami,M,0,1,N/A,3,ML Engineer,11/11,N/A,Chef,2/14,2/15,N/A,N/A,N/A
141,Rhode Island School of Design,2.000000000000001,Masters,Miami,F,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
142,Bentley University,3.6000000000000023,Phd,Detroit,M,1,1,1,1,Senior SWE,5/16,N/A,Chef,12/10,12/22,Chef,2/22,12/22
143,Brown University,4.000000000000003,Bachelors,Washington D.C.,F,N/A,1,N/A,1,Chef,12/12,1/13,Chef,6/17,6/22,N/A,N/A,N/A
144,Providence College,1.3,Bachelors,Miami,M,1,1,1,2,Senior SWE,2/17,N/A,Bus Driver,4/17,4/22,Senior SWE,9/22,12/22
145,Colgate University,2.4000000000000012,Bachelors,Miami,M,N/A,1,N/A,1,Senior SWE,10/14,10/17,N/A,N/A,N/A,N/A,N/A,N/A
146,Colgate University,2.700000000000001,Phd,Chicago,F,N/A,0,N/A,2,Lawyer,2/11,2/22,ML Engineer,9/22,11/22,Junior SWE,12/16,12/19
147,Columbia University,1.9000000000000006,Bachelors,Washington D.C.,M,1,0,0,1,Chef,10/23,12/23,Bus Driver,2/21,5/21,Senior SWE,5/20,7/20
148,Columbia University,3.900000000000002,Masters,Providence,N/A,N/A,0,1,4,Lawyer,5/18,5/22,N/A,N/A,N/A,N/A,N/A,N/A
149,SUNY Binghamton University,2.1000000000000005,Masters,Chicago,N/A,1,1,0,3,Chef,9/14,N/A,Senior SWE,8/13,8/18,Chef,3/18,3/21
150,Bentley University,2.1000000000000005,Masters,Detroit,N/A,0,1,0,3,Bus Driver,6/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,Rhode Island School of Design,1.8000000000000005,Phd,Los Angeles,M,0,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,Brown University,3.5000000000000018,Phd,Detroit,M,0,0,1,2,ML Engineer,7/19,7/21,Bus Driver,11/12,11/13,Data scientist,11/16,11/21
153,Columbia University,1.3,Bachelors,Los Angeles,F,1,0,N/A,4,Bus Driver,3/22,7/22,Junior SWE,6/16,6/19,Senior SWE,11/16,11/19
154,Bentley University,1.8000000000000005,Bachelors,Providence,M,N/A,0,0,2,Lawyer,7/13,7/14,Data scientist,4/15,10/15,Chef,9/14,9/21
155,Rhode Island School of Design,2.1000000000000005,Masters,Chicago,F,N/A,0,N/A,4,Chef,9/14,9/15,Junior SWE,1/22,9/22,Lawyer,7/21,11/21
156,Rhode Island School of Design,2.3000000000000007,Phd,Washington D.C.,N/A,0,0,N/A,3,Lawyer,12/12,12/22,Junior SWE,10/19,10/21,Junior SWE,2/11,2/17
157,Brown University,1.8000000000000005,Phd,Miami,F,0,0,0,4,Lawyer,1/12,1/20,Senior SWE,5/18,5/19,Senior SWE,9/23,10/23
158,Colgate University,2.1000000000000005,Masters,Los Angeles,M,N/A,0,N/A,4,Chef,8/10,8/18,Senior SWE,4/20,9/20,Senior SWE,4/10,4/22
159,Brown University,3.200000000000002,Masters,Los Angeles,N/A,0,0,1,1,Lawyer,12/16,12/20,Chef,12/15,12/16,Data scientist,12/16,12/21
160,Columbia University,2.200000000000001,Masters,Chicago,M,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161,Brown University,3.8000000000000025,Bachelors,Detroit,F,0,0,1,1,Senior SWE,9/21,N/A,Senior SWE,12/12,12/21,Senior SWE,10/15,10/20
162,Columbia University,3.0000000000000018,Masters,Miami,N/A,1,1,1,3,Junior SWE,5/21,7/21,Junior SWE,1/16,7/16,Junior SWE,9/14,9/15
163,SUNY New Paltz,3.700000000000002,Phd,New York City,F,0,0,1,1,Data scientist,1/16,1/18,N/A,N/A,N/A,N/A,N/A,N/A
164,Bentley University,2.1000000000000005,Masters,Boston,F,1,1,N/A,1,Data scientist,8/11,8/20,Junior SWE,2/16,2/19,ML Engineer,1/10,1/12
165,Rhode Island School of Design,3.400000000000002,Bachelors,Chicago,M,N/A,0,0,2,Senior SWE,11/12,11/13,Junior SWE,2/22,6/22,Chef,11/17,12/17
166,Columbia University,2.500000000000001,Phd,Detroit,F,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
167,SUNY Binghamton University,2.6000000000000014,Phd,Los Angeles,M,N/A,1,0,4,Senior SWE,6/16,6/20,ML Engineer,7/18,11/18,Data scientist,8/10,8/12
168,Colgate University,1.2,Masters,Providence,M,N/A,1,0,2,Junior SWE,1/10,1/14,Lawyer,10/23,11/23,Chef,7/18,8/18
169,Colgate University,3.700000000000002,Bachelors,Los Angeles,N/A,0,1,1,4,ML Engineer,4/19,7/19,N/A,N/A,N/A,N/A,N/A,N/A
170,Colgate University,2.1000000000000005,Bachelors,Chicago,F,1,0,N/A,3,Senior SWE,9/16,9/19,Data scientist,6/15,8/15,Bus Driver,5/10,5/15
